Position No., Angular Position, Test Sphere A, , , Test Sphere B, , 
 ,(W2), Xa, Ya, Za, Xb, Yb, Zb
0, 0, 0.000088, -0.00011, -0.000407, 0.000026, 0.000069, -0.000041
1, 135, -0.000242, -0.001111, -0.000525, -, -, -
2, 225, -0.000032, 0.002118, -0.000203, -, -, -
3, 315, 0.000064, -0.000327, -0.001738, -, -, -
4, 405, -0.00058, 0.000745, -0.000272, -, -, -
5, 540, -0.000285, -0.000017, 0.000838, -, -, -
6, 630, -0.000711, 0.000361, -0.000984, -, -, -
7, 810, -0.000597, -0.000634, 0.000595, -, -, -
8, 630, -0.000768, 0.000237, -0.00071, -, -, -
9, 540, -0.000223, 0.000007, 0.001121, -, -, -
10, 405, -0.000113, 0.000662, -0.000055, -, -, -
11, 315, 0.00004, -0.000597, -0.001504, -, -, -
12, 225, -0.000434, 0.001428, 0.000092, -, -, -
13, 135, -0.000201, -0.001149, -0.000296, -, -, -
14, 0, 0.000268, -0.000734, -0.000214, -0.000116, 0.000077, 0.000093
15, -135,- ,- ,- , 0.003228, 0.002309, -0.001767
16, -225,- ,- ,- , 0.002099, 0.002837, -0.002195
17, -315,- ,- ,- , 0.002046, -0.000967, -0.001123
18, -405,- ,- ,- , 0.000308, 0.002912, -0.000809
19, -540,- ,- ,- , 0.002239, 0.001879, -0.00159
20, -630,- ,- ,- , 0.003046, 0.00041, -0.002085
21, -810,- ,- ,- , 0.002293, 0.003788, -0.000647
22, -630,- ,- ,- , 0.003005, 0.000223, -0.001963
23, -540,- ,- ,- , 0.002319, 0.000973, -0.00148
24, -405,- ,- ,- , 0.000521, 0.003795, -0.000549
25, -315,- ,- ,- , 0.001584, -0.000934, -0.000885
26, -225,- ,- ,- , 0.001888, 0.00169, -0.001908
27, -135,- ,- ,- , 0.003656, 0.002179, -0.001342
28, 0, -0.00006, -0.000163, 0.00024, -0.00053, 0.000252, 0.000559
 
Four-axis errors, ,FRa, FTa, FAa, FRb, FTb, FAb
 , ,=(MAX(C3:C31))-(MIN(C3:C31)),=(MAX(D3:D31))-(MIN(D3:D31)),=(MAX(E3:E31))-(MIN(E3:E31)),=(MAX(F3:F31))-(MIN(F3:F31)),=(MAX(G3:G31))-(MIN(G3:G31)),=(MAX(H3:H31))-(MIN(H3:H31))
